ISO3,country,inc_group_2019,stage_1,stage_2,stage_3,stage_3_adv,stage_2019
MRT,Mauritania,,,,,,Has not reached Stage 1
MOZ,Mozambique,,,,,,Has not reached Stage 1
MMR,Myanmar,,,,,,Has not reached Stage 1
NAM,Namibia,,,,,,Has not reached Stage 1
NPL,Nepal,,,,,,Has not reached Stage 1
NER,Niger,,,,,,Has not reached Stage 1
NGA,Nigeria,,,,,,Has not reached Stage 1
PAK,Pakistan,,,,,,Has not reached Stage 1
PHL,Philippines,,,,,,Has not reached Stage 1
RWA,Rwanda,,,,,,Has not reached Stage 1
STP,Sao Tome and Principe,,,,,,Has not reached Stage 1
SEN,Senegal,,,,,,Has not reached Stage 1
SLE,Sierra Leone,,,,,,Has not reached Stage 1
ZAF,South Africa,,,,,,Has not reached Stage 1
SDN,Sudan,,,,,,Has not reached Stage 1
TGO,Togo,,,,,,Has not reached Stage 1
TKM,Turkmenistan,,,,,,Has not reached Stage 1
UGA,Uganda,,,,,,Has not reached Stage 1
TZA,United Republic of Tanzania,,,,,,Has not reached Stage 1
YEM,Yemen,,,,,,Has not reached Stage 1
ZMB,Zambia,,,,,,Has not reached Stage 1
ZWE,Zimbabwe,,,,,,Has not reached Stage 1
ARE,United Arab Emirates,,,,,,High income country
AUS,Australia,,,,,,High income country
AUT,Austria,,,,,,High income country
BEL,Belgium,,,,,,High income country
BHR,Bahrain,,,,,,High income country
CAN,Canada,,,,,,High income country
CHE,Switzerland,,,,,,High income country
CYP,Cyprus,,,,,,High income country
DEU,Germany,,,,,,High income country
DNK,Denmark,,,,,,High income country
ESP,Spain,,,,,,High income country
EST,Estonia,,,,,,High income country
FIN,Finland,,,,,,High income country
FRA,France,,,,,,High income country
GBR,United Kingdom,,,,,,High income country
HKG,"China, Hong Kong SAR",,,,,,High income country
IRL,Ireland,,,,,,High income country
ISL,Iceland,,,,,,High income country
ISR,Israel,,,,,,High income country
ITA,Italy,,,,,,High income country
JPN,Japan,,,,,,High income country
KOR,Republic of Korea,,,,,,High income country
KWT,Kuwait,,,,,,High income country
LTU,Lithuania,,,,,,High income country
LUX,Luxembourg,,,,,,High income country
MLT,Malta,,,,,,High income country
NLD,Netherlands,,,,,,High income country
NOR,Norway,,,,,,High income country
NZL,New Zealand,,,,,,High income country
OMN,Oman,,,,,,High income country
POL,Poland,,,,,,High income country
PRI,Puerto Rico,,,,,,High income country
QAT,Qatar,,,,,,High income country
SAU,Saudi Arabia,,,,,,High income country
SGP,Singapore,,,,,,High income country
SWE,Sweden,,,,,,High income country
SYC,Seychelles,,,,,,High income country
TWN,"Taiwan, Province of China",,,,,,High income country
USA,United States,,,,,,High income country
